Dim,brute_force,brute_force_time,greedy,greedy_time,local_search,local_search_time,local_search_perm,local_search_perm_time,sim_annealing,sim_annealing_time,vns,vns_time,genetic_alg,genetic_alg_time,tabu,tabu_time,taloc_combo,taloc_combo_time
5,13.0,0.0,17.0,0.0,13.0,0.01,13.0,0.06,13.0,0.01,13.0,0.33,13.0,0.24,13.29,0.07,13.0,0.51
8,21.0,0.58,39.0,0.0,21.0,0.01,21.0,0.09,21.0,0.01,21.0,0.6,21.0,0.25,21.29,0.28,21.0,0.83
10,76.0,79.03,112.0,0.0,77.33,0.02,76.0,0.11,77.33,0.02,76.0,1.05,76.67,0.31,78.14,0.77,76.0,1.45
11,59.0,552.97,113.0,0.0,60.33,0.02,61.67,0.13,61.0,0.02,59.17,1.03,60.11,0.3,63.57,0.86,59.2,1.71
15,,,254.0,0.0,137.0,0.03,138.33,0.19,135.33,0.03,126.25,2.37,128.28,0.37,138.43,2.36,126.07,3.22
20,,,805.0,0.0,525.67,0.04,513.0,0.34,507.0,0.06,512.42,5.97,510.28,0.55,530.86,9.41,505.43,10.14
33,,,3110.0,0.0,2200.33,0.15,2161.0,0.8,2213.33,0.17,2164.92,24.17,2136.89,1.2,2224.57,73.68,2105.2,65.24
38,,,4992.0,0.0,3693.33,0.12,3687.67,0.61,3771.0,0.11,3724.42,21.44,3633.94,0.85,3791.71,75.19,3565.38,45.81
50,,,11293.0,0.0,8852.67,0.43,8699.33,2.7,8808.0,0.44,8669.17,101.39,8525.78,1.53,8733.0,259.28,8278.7,210.99
70,,,31606.0,0.0,26503.0,0.55,26189.33,3.05,26583.33,0.54,25518.58,180.08,25226.0,3.38,26421.43,1266.5,24863.14,943.19
12,241.0,10351.71,279.0,0.0,241.0,1.38,241.0,0.1,241.0,0.01,241.0,1.01,241.0,0.2,245.86,0.94,241.0,1.47
16,,,660.0,0.0,560.0,0.03,562.0,0.17,565.67,0.03,560.67,2.23,561.22,0.28,566.0,2.93,560.77,3.54
17,,,791.0,0.0,669.33,0.03,675.0,0.19,671.67,0.03,667.25,2.81,668.39,0.3,679.29,3.77,667.0,4.3
23,,,1894.0,0.0,1590.0,0.05,1603.67,0.38,1596.0,0.06,1590.08,6.49,1589.0,0.48,1620.43,13.19,1588.03,11.97
30,,,4052.0,0.0,3446.67,0.1,3472.0,0.57,3435.67,0.11,3427.08,15.45,3440.67,0.77,3547.0,40.88,3422.23,30.81
