Dim,Method,Value,Time
50,"tournament_selection, pmx_crossover, mutation_swap",8570,1.44
50,"tournament_selection, pmx_crossover, mutation_inverse",8578,1.48
50,"tournament_selection, pmx_crossover, mutation_scramble",8521,1.54
50,"tournament_selection, ordered_crossover, mutation_swap",8218,1.44
50,"tournament_selection, ordered_crossover, mutation_inverse",8530,1.46
50,"tournament_selection, ordered_crossover, mutation_scramble",8473,1.5
50,"rank_selection, pmx_crossover, mutation_swap",8453,1.47
50,"rank_selection, pmx_crossover, mutation_inverse",8450,1.5
50,"rank_selection, pmx_crossover, mutation_scramble",8476,1.56
50,"rank_selection, ordered_crossover, mutation_swap",8359,1.52
50,"rank_selection, ordered_crossover, mutation_inverse",8717,1.52
50,"rank_selection, ordered_crossover, mutation_scramble",8694,1.56
50,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",8378,1.56
50,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",8558,1.56
50,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",8518,1.67
50,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",8347,1.57
50,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",8861,1.57
50,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",8763,1.62
70,"tournament_selection, pmx_crossover, mutation_swap",24483,3.24
70,"tournament_selection, pmx_crossover, mutation_inverse",25533,3.3
70,"tournament_selection, pmx_crossover, mutation_scramble",25041,3.38
70,"tournament_selection, ordered_crossover, mutation_swap",24605,3.27
70,"tournament_selection, ordered_crossover, mutation_inverse",25461,3.3
70,"tournament_selection, ordered_crossover, mutation_scramble",25112,3.42
70,"rank_selection, pmx_crossover, mutation_swap",24708,3.26
70,"rank_selection, pmx_crossover, mutation_inverse",25632,3.37
70,"rank_selection, pmx_crossover, mutation_scramble",25581,3.46
70,"rank_selection, ordered_crossover, mutation_swap",24901,3.31
70,"rank_selection, ordered_crossover, mutation_inverse",25801,3.39
70,"rank_selection, ordered_crossover, mutation_scramble",24993,3.47
70,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",24575,3.37
70,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",25555,3.44
70,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",25825,3.54
70,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",24997,3.42
70,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",25666,3.47
70,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",25599,3.49
5,"tournament_selection, pmx_crossover, mutation_swap",13,0.21
5,"tournament_selection, pmx_crossover, mutation_inverse",13,0.16
5,"tournament_selection, pmx_crossover, mutation_scramble",13,0.15
5,"tournament_selection, ordered_crossover, mutation_swap",13,0.14
5,"tournament_selection, ordered_crossover, mutation_inverse",13,0.15
5,"tournament_selection, ordered_crossover, mutation_scramble",13,0.16
5,"rank_selection, pmx_crossover, mutation_swap",13,0.2
5,"rank_selection, pmx_crossover, mutation_inverse",13,0.21
5,"rank_selection, pmx_crossover, mutation_scramble",13,0.17
5,"rank_selection, ordered_crossover, mutation_swap",13,0.17
5,"rank_selection, ordered_crossover, mutation_inverse",13,0.2
5,"rank_selection, ordered_crossover, mutation_scramble",13,0.2
5,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",13,0.32
5,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",13,0.35
5,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",13,0.36
5,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",13,0.32
5,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",13,0.34
5,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",13,0.44
8,"tournament_selection, pmx_crossover, mutation_swap",21,0.19
8,"tournament_selection, pmx_crossover, mutation_inverse",21,0.2
8,"tournament_selection, pmx_crossover, mutation_scramble",21,0.26
8,"tournament_selection, ordered_crossover, mutation_swap",21,0.22
8,"tournament_selection, ordered_crossover, mutation_inverse",21,0.16
8,"tournament_selection, ordered_crossover, mutation_scramble",21,0.17
8,"rank_selection, pmx_crossover, mutation_swap",21,0.2
8,"rank_selection, pmx_crossover, mutation_inverse",21,0.22
8,"rank_selection, pmx_crossover, mutation_scramble",25,0.24
8,"rank_selection, ordered_crossover, mutation_swap",21,0.22
8,"rank_selection, ordered_crossover, mutation_inverse",21,0.18
8,"rank_selection, ordered_crossover, mutation_scramble",21,0.22
8,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",21,0.34
8,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",21,0.31
8,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",21,0.34
8,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",21,0.33
