Dim,Method,Value,Time
50,greedy_algorithm,11293,0.0
70,greedy_algorithm,31606,0.0
5,greedy_algorithm,17,0.0
8,greedy_algorithm,39,0.0
10,greedy_algorithm,112,0.0
11,greedy_algorithm,113,0.0
15,greedy_algorithm,254,0.0
20,greedy_algorithm,805,0.0
33,greedy_algorithm,3110,0.0
38,greedy_algorithm,4992,0.0
16,greedy_algorithm,660,0.0
12,greedy_algorithm,279,0.0
16,greedy_algorithm,660,0.0
17,greedy_algorithm,791,0.0
23,greedy_algorithm,1894,0.0
30,greedy_algorithm,4052,0.0
8,greedy_algorithm,39,0.0
