Dim,Method,Value,Time
50,"tabu_swap_neighbors, local_search, make_change_swap",8377,21.31
50,"tabu_swap_neighbors, local_search, make_change_scramble",8113,21.99
50,"tabu_swap_neighbors, local_search, make_change_inverse",8212,21.58
50,"tabu_swap_neighbors, simulated_annealing, make_change_swap",8300,21.27
50,"tabu_swap_neighbors, simulated_annealing, make_change_scramble",8190,22.31
50,"tabu_swap_neighbors, simulated_annealing, make_change_inverse",8335,21.79
50,"tabu_inverse, local_search, make_change_swap",8195,23.78
50,"tabu_inverse, local_search, make_change_scramble",8158,23.87
50,"tabu_inverse, local_search, make_change_inverse",8219,23.93
50,"tabu_inverse, simulated_annealing, make_change_swap",8204,23.6
50,"tabu_inverse, simulated_annealing, make_change_scramble",8290,24.52
50,"tabu_inverse, simulated_annealing, make_change_inverse",8354,22.63
50,"tabu_inverse_complete, local_search, make_change_swap",8306,265.58
50,"tabu_inverse_complete, local_search, make_change_scramble",8216,268.95
50,"tabu_inverse_complete, local_search, make_change_inverse",8417,270.12
50,"tabu_inverse_complete, simulated_annealing, make_change_swap",8173,264.9
50,"tabu_inverse_complete, simulated_annealing, make_change_scramble",8288,266.21
50,"tabu_inverse_complete, simulated_annealing, make_change_inverse",8444,267.26
50,"tabu_scramble, local_search, make_change_swap",8419,270.07
50,"tabu_scramble, local_search, make_change_scramble",8223,274.53
50,"tabu_scramble, local_search, make_change_inverse",8226,274.55
50,"tabu_scramble, simulated_annealing, make_change_swap",8273,273.88
50,"tabu_scramble, simulated_annealing, make_change_scramble",8247,276.25
50,"tabu_scramble, simulated_annealing, make_change_inverse",8122,268.5
50,"tabu_scramble_continuous, local_search, make_change_swap",8272,459.25
50,"tabu_scramble_continuous, local_search, make_change_scramble",8279,482.36
50,"tabu_scramble_continuous, local_search, make_change_inverse",8133,448.76
50,"tabu_scramble_continuous, simulated_annealing, make_change_swap",8397,471.63
50,"tabu_scramble_continuous, simulated_annealing, make_change_scramble",8594,463.31
50,"tabu_scramble_continuous, simulated_annealing, make_change_inverse",8385,490.94
70,"tabu_swap_neighbors, local_search, make_change_swap",24695,62.2
70,"tabu_swap_neighbors, local_search, make_change_scramble",24711,63.91
70,"tabu_swap_neighbors, local_search, make_change_inverse",24770,62.78
70,"tabu_swap_neighbors, simulated_annealing, make_change_swap",24749,63.1
70,"tabu_swap_neighbors, simulated_annealing, make_change_scramble",25664,64.49
70,"tabu_swap_neighbors, simulated_annealing, make_change_inverse",25261,63.56
70,"tabu_inverse, local_search, make_change_swap",24554,68.47
70,"tabu_inverse, local_search, make_change_scramble",24733,71.48
70,"tabu_inverse, local_search, make_change_inverse",24667,72.09
70,"tabu_inverse, simulated_annealing, make_change_swap",24847,69.03
70,"tabu_inverse, simulated_annealing, make_change_scramble",24604,70.46
70,"tabu_inverse, simulated_annealing, make_change_inverse",24974,66.1
70,"tabu_inverse_complete, local_search, make_change_swap",24895,1297.57
70,"tabu_inverse_complete, local_search, make_change_scramble",24807,1292.24
70,"tabu_inverse_complete, local_search, make_change_inverse",24815,1290.67
70,"tabu_inverse_complete, simulated_annealing, make_change_swap",24699,1284.78
70,"tabu_inverse_complete, simulated_annealing, make_change_scramble",24949,1280.3
70,"tabu_inverse_complete, simulated_annealing, make_change_inverse",24678,1286.72
70,"tabu_scramble, local_search, make_change_swap",24539,1296.98
70,"tabu_scramble, local_search, make_change_scramble",25070,1299.74
70,"tabu_scramble, local_search, make_change_inverse",24492,1301.84
70,"tabu_scramble, simulated_annealing, make_change_swap",24693,1306.89
70,"tabu_scramble, simulated_annealing, make_change_scramble",24878,1308.44
70,"tabu_scramble, simulated_annealing, make_change_inverse",24886,1312.77
70,"tabu_scramble_continuous, local_search, make_change_swap",24875,2103.84
70,"tabu_scramble_continuous, local_search, make_change_scramble",24939,2178.32
70,"tabu_scramble_continuous, local_search, make_change_inverse",24675,1954.0
70,"tabu_scramble_continuous, simulated_annealing, make_change_swap",25073,2332.95
70,"tabu_scramble_continuous, simulated_annealing, make_change_scramble",25839,2426.7
70,"tabu_swap_neighbors, local_search, make_change_swap",24695,62.2
70,"tabu_swap_neighbors, local_search, make_change_scramble",24711,63.91
70,"tabu_swap_neighbors, local_search, make_change_inverse",24770,62.78
70,"tabu_swap_neighbors, simulated_annealing, make_change_swap",24749,63.1
70,"tabu_swap_neighbors, simulated_annealing, make_change_scramble",25664,64.49
70,"tabu_swap_neighbors, simulated_annealing, make_change_inverse",25261,63.56
70,"tabu_inverse, local_search, make_change_swap",24554,68.47
70,"tabu_inverse, local_search, make_change_scramble",24733,71.48
70,"tabu_inverse, local_search, make_change_inverse",24667,72.09
70,"tabu_inverse, simulated_annealing, make_change_swap",24847,69.03
70,"tabu_inverse, simulated_annealing, make_change_scramble",24604,70.46
70,"tabu_inverse, simulated_annealing, make_change_inverse",24974,66.1
70,"tabu_inverse_complete, local_search, make_change_swap",24895,1297.57
70,"tabu_inverse_complete, local_search, make_change_scramble",24807,1292.24
70,"tabu_inverse_complete, local_search, make_change_inverse",24815,1290.67
70,"tabu_inverse_complete, simulated_annealing, make_change_swap",24699,1284.78
70,"tabu_inverse_complete, simulated_annealing, make_change_scramble",24949,1280.3
70,"tabu_inverse_complete, simulated_annealing, make_change_inverse",24678,1286.72
70,"tabu_scramble, local_search, make_change_swap",24539,1296.98
70,"tabu_scramble, local_search, make_change_scramble",25070,1299.74
70,"tabu_scramble, local_search, make_change_inverse",24492,1301.84
70,"tabu_scramble, simulated_annealing, make_change_swap",24693,1306.89
70,"tabu_scramble, simulated_annealing, make_change_scramble",24878,1308.44
70,"tabu_scramble, simulated_annealing, make_change_inverse",24886,1312.77
70,"tabu_scramble_continuous, local_search, make_change_swap",24875,2103.84
70,"tabu_scramble_continuous, local_search, make_change_scramble",24939,2178.32
70,"tabu_scramble_continuous, local_search, make_change_inverse",24675,1954.0
70,"tabu_scramble_continuous, simulated_annealing, make_change_swap",25073,2332.95
70,"tabu_scramble_continuous, simulated_annealing, make_change_scramble",25839,2426.7
5,"tabu_swap_neighbors, local_search, make_change_swap",13,0.4
5,"tabu_swap_neighbors, local_search, make_change_scramble",13,0.63
5,"tabu_swap_neighbors, local_search, make_change_inverse",13,0.44
5,"tabu_swap_neighbors, simulated_annealing, make_change_swap",13,0.41
5,"tabu_swap_neighbors, simulated_annealing, make_change_scramble",13,0.72
5,"tabu_swap_neighbors, simulated_annealing, make_change_inverse",13,0.45
5,"tabu_inverse, local_search, make_change_swap",13,0.34
5,"tabu_inverse, local_search, make_change_scramble",13,0.69
5,"tabu_inverse, local_search, make_change_inverse",13,0.43
5,"tabu_inverse, simulated_annealing, make_change_swap",13,0.42
5,"tabu_inverse, simulated_annealing, make_change_scramble",13,0.69
5,"tabu_inverse, simulated_annealing, make_change_inverse",13,0.45
5,"tabu_inverse_complete, local_search, make_change_swap",13,0.41
5,"tabu_inverse_complete, local_search, make_change_scramble",13,0.69
5,"tabu_inverse_complete, local_search, make_change_inverse",13,0.44
5,"tabu_inverse_complete, simulated_annealing, make_change_swap",13,0.45
5,"tabu_inverse_complete, simulated_annealing, make_change_scramble",13,0.67
5,"tabu_inverse_complete, simulated_annealing, make_change_inverse",13,0.36
5,"tabu_scramble, local_search, make_change_swap",13,0.4
5,"tabu_scramble, local_search, make_change_scramble",13,0.69
5,"tabu_scramble, local_search, make_change_inverse",13,0.44
5,"tabu_scramble, simulated_annealing, make_change_swap",13,0.4
5,"tabu_scramble, simulated_annealing, make_change_scramble",13,0.72
5,"tabu_scramble, simulated_annealing, make_change_inverse",13,0.43
5,"tabu_scramble_continuous, local_search, make_change_swap",13,0.42
5,"tabu_scramble_continuous, local_search, make_change_scramble",13,0.62
5,"tabu_scramble_continuous, local_search, make_change_inverse",13,0.35
5,"tabu_scramble_continuous, simulated_annealing, make_change_swap",13,0.44
5,"tabu_scramble_continuous, simulated_annealing, make_change_scramble",13,0.73
5,"tabu_scramble_continuous, simulated_annealing, make_change_inverse",13,0.52
8,"tabu_swap_neighbors, local_search, make_change_swap",21,0.47
8,"tabu_swap_neighbors, local_search, make_change_scramble",21,0.9
8,"tabu_swap_neighbors, local_search, make_change_inverse",21,0.58
8,"tabu_swap_neighbors, simulated_annealing, make_change_swap",21,0.61
8,"tabu_swap_neighbors, simulated_annealing, make_change_scramble",21,0.96
8,"tabu_swap_neighbors, simulated_annealing, make_change_inverse",21,0.64
8,"tabu_inverse, local_search, make_change_swap",21,0.56
8,"tabu_inverse, local_search, make_change_scramble",21,0.93
8,"tabu_inverse, local_search, make_change_inverse",21,0.6
8,"tabu_inverse, simulated_annealing, make_change_swap",21,0.63
8,"tabu_inverse, simulated_annealing, make_change_scramble",21,0.98
8,"tabu_inverse, simulated_annealing, make_change_inverse",21,0.65
8,"tabu_inverse_complete, local_search, make_change_swap",21,0.69
