Dim,Method,Value,Time
50,"shaking_swap, make_change_swap, local_search",8705,47.15
50,"shaking_swap, make_change_swap, local_search_with_permutation",8683,118.22
50,"shaking_swap, make_change_inverse, local_search",8824,46.7
50,"shaking_swap, make_change_inverse, local_search_with_permutation",8803,123.0
50,"shaking_swap, make_change_scramble, local_search",8783,50.16
50,"shaking_swap, make_change_scramble, local_search_with_permutation",8636,122.04
50,"shaking_inverse, make_change_swap, local_search",8598,68.89
50,"shaking_inverse, make_change_swap, local_search_with_permutation",8561,185.92
50,"shaking_inverse, make_change_inverse, local_search",8599,71.85
50,"shaking_inverse, make_change_inverse, local_search_with_permutation",8629,184.85
50,"shaking_inverse, make_change_scramble, local_search",8605,74.77
50,"shaking_inverse, make_change_scramble, local_search_with_permutation",8604,123.18
70,"shaking_swap, make_change_swap, local_search",25614,84.11
70,"shaking_swap, make_change_swap, local_search_with_permutation",25552,195.88
70,"shaking_swap, make_change_inverse, local_search",26015,80.5
70,"shaking_swap, make_change_inverse, local_search_with_permutation",25902,198.2
70,"shaking_swap, make_change_scramble, local_search",25430,82.64
70,"shaking_swap, make_change_scramble, local_search_with_permutation",25837,199.05
70,"shaking_inverse, make_change_swap, local_search",25185,120.64
70,"shaking_inverse, make_change_swap, local_search_with_permutation",25064,316.9
70,"shaking_inverse, make_change_inverse, local_search",25562,121.26
70,"shaking_inverse, make_change_inverse, local_search_with_permutation",25125,314.93
70,"shaking_inverse, make_change_scramble, local_search",25713,124.82
70,"shaking_inverse, make_change_scramble, local_search_with_permutation",25224,322.08
5,"shaking_swap, make_change_swap, local_search",13,0.12
5,"shaking_swap, make_change_swap, local_search_with_permutation",13,0.33
5,"shaking_swap, make_change_inverse, local_search",13,0.1
5,"shaking_swap, make_change_inverse, local_search_with_permutation",13,0.3
5,"shaking_swap, make_change_scramble, local_search",13,0.15
5,"shaking_swap, make_change_scramble, local_search_with_permutation",13,0.39
5,"shaking_inverse, make_change_swap, local_search",13,0.2
5,"shaking_inverse, make_change_swap, local_search_with_permutation",13,0.59
5,"shaking_inverse, make_change_inverse, local_search",13,0.2
5,"shaking_inverse, make_change_inverse, local_search_with_permutation",13,0.6
5,"shaking_inverse, make_change_scramble, local_search",13,0.31
5,"shaking_inverse, make_change_scramble, local_search_with_permutation",13,0.68
8,"shaking_swap, make_change_swap, local_search",21,0.26
8,"shaking_swap, make_change_swap, local_search_with_permutation",21,0.85
8,"shaking_swap, make_change_inverse, local_search",21,0.31
8,"shaking_swap, make_change_inverse, local_search_with_permutation",21,0.88
8,"shaking_swap, make_change_scramble, local_search",21,0.41
